,revision_id,article_name,country,article_quality_est,population
0,355319463,Bir I of Kanem,Chad,,16877000
1,498683267,Abdullah II of Kanem,Chad,,16877000
2,565745353,Salmama II of Kanem,Chad,,16877000
3,565745365,Kuri I of Kanem,Chad,,16877000
4,565745375,Mohammed I of Kanem,Chad,,16877000
5,669719757,Kuri II of Kanem,Chad,Stub,16877000
6,670893206,Bir II of Kanem,Chad,Stub,16877000
7,693055898,Mahamat Hissene,Chad,Stub,16877000
8,705432607,Othman I,Chad,Stub,16877000
9,707593108,Alphonse Kotiga,Chad,Stub,16877000
10,708346649,Oueddei Kichidemi,Chad,Start,16877000
11,710675092,Dunama I,Chad,Stub,16877000
12,711388267,Ahmad (Kanem-Bornu king),Chad,Stub,16877000
13,712971263,Djibrine Kerallah,Chad,Stub,16877000
14,712971315,Maurice Ngangtar,Chad,Stub,16877000
15,712971738,Idriss Miskine,Chad,Stub,16877000
16,716886170,Laoukein Kourayo Médard,Chad,Stub,16877000
17,716886788,Nadji Madou,Chad,Stub,16877000
18,716891799,Noël Milarew Odingar,Chad,Start,16877000
19,717733209,Yaya Dillo Djérou,Chad,Stub,16877000
20,719821590,Acheikh Ibn-Oumar,Chad,Start,16877000
21,720066754,Quatre Sou Quatre,Chad,Stub,16877000
22,722563340,Ali Gazi,Chad,Stub,16877000
23,725132042,Mahamat Djarma Khatir,Chad,Stub,16877000
24,731749611,Dunama IX Lefiami,Chad,Stub,16877000
25,736550266,Dawud of Kanem,Chad,Stub,16877000
26,738855197,Ahmed Koulamallah,Chad,Start,16877000
27,741369486,Abbo Nassour,Chad,C,16877000
28,742213176,Abdel Kader Baba-Laddé,Chad,Stub,16877000
29,747271475,Hummay,Chad,Stub,16877000
30,751304544,Ngarlejy Yorongar,Chad,C,16877000
31,751380073,Saleh Kezabo,Chad,Stub,16877000
32,757072468,Bourkou Louise Kabo,Chad,Start,16877000
33,757802238,Brahim Koulamallah,Chad,Stub,16877000
34,757842614,Saadie Goukouni Weddeye,Chad,Start,16877000
35,762579466,Mahamoud Adam Béchir,Chad,Start,16877000
36,762816132,Kalthouma Nguembang,Chad,,16877000
37,764133533,Djidingar Dono Ngardoum,Chad,Stub,16877000
38,771052289,Youssouf Saleh Abbas,Chad,C,16877000
39,774223245,Koibla Djimasta,Chad,Start,16877000
40,774223248,Nassour Guelendouksia Ouaido,Chad,C,16877000
41,777478442,Joseph Brahim Seid,Chad,Stub,16877000
42,777550078,Joseph Yodoyman,Chad,Start,16877000
43,782638002,Antoine Bangui,Chad,Start,16877000
44,785614014,Ibrahim IV of Bornu,Chad,Stub,16877000
45,786449636,Hadjé Halimé,Chad,C,16877000
46,787390241,Youssouf Togoïmi,Chad,Start,16877000
47,787719236,Adoum Younousmi,Chad,Start,16877000
48,787738541,François Tombalbaye,Chad,C,16877000
49,787910771,Ahmat Hassaballah Soubiane,Chad,Stub,16877000
50,787921293,Ahmad Allam-Mi,Chad,Start,16877000
51,788009613,Laotegguelnodji Koumtog,Chad,Stub,16877000
52,788014671,Mahamat Ali Adoum,Chad,Start,16877000
53,788658822,Mahamat Saleh Annadif,Chad,Start,16877000
54,788827248,Mohamed Bechir-Sow,Chad,Stub,16877000
55,788828388,Gontchomé Sahoulba,Chad,Start,16877000
56,788828519,Gabriel Lisette,Chad,Start,16877000
57,788999424,Ali II of Bornu,Chad,Stub,16877000
58,789126126,Arabi El Goni,Chad,Stub,16877000
59,789935196,Dunama Dabbalemi,Chad,Start,16877000
60,792734868,Idris Alooma,Chad,Start,16877000
61,792954115,Mahamat Nouri,Chad,B,16877000
62,796654025,Idriss Ndele Moussa,Chad,Stub,16877000
63,796690873,Mbaydoum Simeon,Chad,Stub,16877000
64,796700718,Ngarindo Milengar,Chad,Stub,16877000
65,797747674,List of Prime Ministers of Chad,Chad,Start,16877000
66,798286150,Idriss Déby,Chad,C,16877000
67,798626040,Saleh Kebzabo,Chad,C,16877000
68,799043301,Moussa Faki,Chad,C,16877000
69,799413193,Kalzeubet Pahimi Deubet,Chad,Stub,16877000
70,799447895,Haroun Kabadi,Chad,Start,16877000
71,799447995,Nagoum Yamassoum,Chad,Start,16877000
72,799448338,Outel Bono,Chad,Start,16877000
73,799902492,Ahmat Acyl,Chad,C,16877000
74,800133552,Djimrangar Dadnadji,Chad,Start,16877000
75,801029539,Delwa Kassiré Koumakoye,Chad,C,16877000
76,801192255,Fidèle Moungar,Chad,C,16877000
77,801192303,Jean Alingué Bawoyeu,Chad,B,16877000
78,801573576,Emmanuel Nadingar,Chad,C,16877000
79,801583221,Roger Djikisna,Chad,Stub,16877000
80,801583260,Firmin Djidingar,Chad,Stub,16877000
81,802874918,Idris I of Kanem,Chad,Stub,16877000
82,803166509,Vice President of Chad,Chad,Stub,16877000
83,803166806,Hissène Habré,Chad,GA,16877000
84,803166989,Negue Djogo,Chad,Start,16877000
85,803167152,Wadel Abdelkader Kamougué,Chad,C,16877000
86,803167336,Félix Malloum,Chad,Start,16877000
87,803167424,Lol Mahamat Choua,Chad,C,16877000
88,803167990,Goukouni Oueddei,Chad,C,16877000
89,803433107,Albert Pahimi Padacké,Chad,C,16877000
90,803812011,List of heads of state of Chad,Chad,Start,16877000
91,804773540,Elise Loum,Chad,Start,16877000
92,805493169,Agnes Allafi,Chad,Start,16877000
93,806337653,Christine Georges Diguibaye,Chad,Stub,16877000
94,806508985,Pascal Yoadimnadji,Chad,Start,16877000
95,806616268,Aissa Koli,Chad,Start,16877000
96,807425129,Omar I of Kanem,Chad,Start,16877000
97,393276188,Information Minister of the Palestinian National Authority,Palestinian Territory,,5008000
98,596181202,Finance Minister of the Palestinian National Authority,Palestinian Territory,,5008000
99,633612729,Planning Minister of the Palestinian National Authority,Palestinian Territory,Start,5008000
100,680933208,Hossam Arafat (politician),Palestinian Territory,Stub,5008000
101,701106976,Tawfik Tirawi,Palestinian Territory,Start,5008000
102,706650943,Isam al-Qadi,Palestinian Territory,Stub,5008000
103,707669406,Hussein al-Araj,Palestinian Territory,Stub,5008000
104,708269321,Mohammad Barghouti,Palestinian Territory,Stub,5008000
105,708495719,Ahmed Khalidi,Palestinian Territory,Stub,5008000
106,708817890,Health Minister of the Palestinian National Authority,Palestinian Territory,Stub,5008000
107,709529097,Qais Abd al-Karim,Palestinian Territory,Stub,5008000
108,709567584,Mahmoud Aloul,Palestinian Territory,Stub,5008000
